Name ,Country ,City ,Rooms,Floors
Cosmos Hotel , Russia ,Moscow ,"1,777[citation needed] ",25 floors
Hard Rock Hotel Punta Cana , Dominican Republic ,Punta Cana ,"1,775[citation needed] ",
Bally's Atlantic City , United States ,Atlantic City ,1753,30 floors
Sheraton New York Hotel and Towers , United States ,New York ,1750,50 floors
Anjum Hotel Makkah , Saudi Arabia ,Mecca ,"1,743[12] ",
Beau Rivage (Mississippi) , United States ,Biloxi ,1740,32 floors
Silver Legacy Reno , United States ,Reno ,1720,
SLS Las Vegas , United States ,Las Vegas ,1720,
Hotel Pennsylvania , United States ,New York ,1700,22 floors
Adlerkurort , Russia ,Sochi ,"1,681[citation needed] ",
Atlanta Marriott Marquis , United States ,Atlanta ,1675,52 floors
Palmer House , United States ,Chicago ,1641,
Hyatt Regency Orlando , United States ,Orlando ,1641,
Sheraton Waikiki Hotel , United States ,Honolulu ,1634,
Shinjuku Washington Hotel , Japan ,Tokyo ,"1,633[citation needed] ",
Royal National Hotel , United Kingdom ,London ,1630,8 floors
Manchester Grand Hyatt Hotel , United States ,San Diego ,1625,"Harbor Tower – 40 floors, Seaport Tower – 34 floors"
Hilton New Orleans Riverside , United States ,New Orleans ,1622,29 floors
Hilton Anatole , United States ,Dallas ,1608,27 floors
JW Marriott Marquis Dubai , United Arab Emirates ,Dubai ,1608,"72 floors, 2 buildings[13]"
Crown Casino , Australia ,Melbourne ,1604,"43,[14] 23, 28 floors across 3 towers: Crown Towers, Crown Promenade and Crown Metropol"
John Ascuaga's Nugget Casino Resort , United States ,"Sparks, Nevada ",1600,29 floors in 2 towers
Chelsea Hotel , Canada ,Toronto ,1590,
JW Marriott/Ritz Carlton Orlando Grande Lakes , United States ,Orlando ,1584,26/15 (2 towers)
Hilton Anaheim , United States ,Anaheim ,1572,
Circus Circus Reno , United States ,Reno ,1572,23/23/28 floors (3 towers)
Hilton Chicago , United States ,Chicago ,1544,"29 floors; had 3,000 rooms and was the world's largest hotel when it opened in 1927"
"Atlantis, The Palm ", United Arab Emirates ,Dubai ,1539,
Xianglu Grand , China ,"Xiamen, China ","1,525[15] ",
Gaylord Texan Resort & Convention Center , United States ,"Grapevine, Texas ",1511,9 floors
Fontainebleau Miami Beach , United States ,Miami Beach ,1504,
Rosen Shingle Creek ,United States ,Orlando ,1500,14 floors
Marriott Marquis , United States ,San Francisco ,"1,500[citation needed] ",
Swissotel Makkah , Saudi Arabia ,Mecca ,"1,487[16] ",Part of Makkah Clock Tower (Abraj al Bait)
Tropicana Las Vegas , United States ,Las Vegas ,1467,21/22 floors (2 towers)
Rin Grand Hotel , Romania ,Bucharest ,1459,15 floors
Gaylord Palms Resort & Convention Center , United States ,Orlando ,"1,416 (1406 until mid 2016) ",9 floors
Makkah Hilton & Towers , Saudi Arabia ,Mecca ,"1,414[citation needed] ",30 floors
Philadelphia Marriott Downtown , United States ,Philadelphia ,"1,408[citation needed] ",23 floors
Peppermill Reno , United States ,Reno ,1407,
Riverside Resort Hotel & Casino , United States ,Laughlin ,1405,
WinStar World Casino , United States ,Chickasaw Nation ,1395,"395 in Resort Tower, 500 in Pool Tower North, 500 in Pool Tower South"
Revel Atlantic City , United States ,Atlantic City ,1339,
Sheraton Centre Hotel , Canada ,Toronto ,1377,42 floors
Fairmont Royal York Hotel , Canada ,Toronto ,1365,28 floors
Bangkok Marriott Marquis Queen's Park , Thailand ,Bangkok ,"1,360[citation needed] ",38 floors
Westin Bonaventure Hotel , United States ,Los Angeles ,1358,
Caribe Royale Orlando , United States ,Orlando ,"1,338Template:Cite http://www.cariberoyale.com/FAQ-en.html ","10 floors - 3 towers, 5 floors - 4 buildings (villas)"
New Orleans Marriott , United States ,New Orleans ,"1,333 [17] ",41 floors
Showboat Atlantic City , United States ,Atlantic City ,1331,
ROW NYC , United States ,New York ,"1,331[citation needed] ",
Marriott Marquis & Marina , United States ,San Diego ,"1,360Template:Citation verified ","24 floors, two towers"
Marriott Wardman Park , United States ,"Washington, DC ",1316,
Hotel Pullman Zamzam Makkah , Saudi Arabia ,Mecca ,"1,315[18] ",Part of Makkah Clock Tower (Abraj al Bait)
Grand Hyatt , United States ,New York ,1311,34 floors
Disney's Animal Kingdom Lodge and Villas , United States ,"Bay Lake, Florida ",1307,4 floors
Makkah Clock Royal Tower (Fairmont) , Saudi Arabia ,Mecca ,"1,299[19] ",Part of Makkah Clock Tower (Abraj al Bait)
Detroit Marriott at the Renaissance Center , United States ,Detroit ,1298,73 floors[20][21][22]
Galt House Hotel , United States ,Louisville ,"1,290[citation needed] ",
Hilton LAX Airport , United States ,Los Angeles ,"1,279[citation needed] ",
Swissôtel The Stamford , Singapore ,Singapore ,1261,
Hyatt Regency Atlanta , United States ,Atlanta ,1260,
Best Western Premier Havana Nha Trang , Vietnam ,Nha Trang ,"1,260[citation needed] ",41 floors
"The Bazaar Hotel, Suan Lum Night Bazaar ", Thailand ,Bangkok ,"1,300[citation needed] ",
Hyatt Regency McCormick Place , United States ,Chicago ,"1,258[citation needed] ",2 towers (33 and 16 floors)
Waldorf-Astoria Hotel , United States ,New York ,1245,42 floors
Buffalo Bill's , United States ,"Primm, Nevada ","1,242[citation needed] ",
Hilton Waikoloa Beach Resort , United States ,"Waikoloa Village, Hawaii ",1240,3 towers[23]
Sunway Resort , Malaysia ,Petaling Jaya ,"1,234[citation needed] ",
Sheraton Denver Downtown Hotel , United States ,Denver ,1231,22[24]
Holiday Inn Macao Cotai Central , Macau ,Macau ,1224,Part of Sands Cotai Central Complex
Hyatt Regency Waikiki Resort & Spa , United States ,Honolulu ,"1,221[citation needed] ",2 towers
Sheraton , United States ,Boston ,"1,220[citation needed] ",
Disney's Yacht Club and Beach Club Resorts , United States ,"Bay Lake, Florida ",1213,5 floors (2 buildings)
Sheraton , United States ,Chicago ,"1,209[citation needed] ",
Madinah Anwar Al Madinah (Mövenpick) , Saudi Arabia ,Medina ,1207,14 floors[25]
Marriott Marquis Chicago , United States ,Chicago ,1205,40 floors[26]
Makkah Hajar Tower (Mövenpick) , Saudi Arabia ,Mecca ,"1,200[27] ",Part of Makkah Clock Tower (Abraj al Bait)
Park Inn Pribaltiskaya Hotel , Russia ,St. Petersburg ,"1,200[citation needed] ",
Hilton Americas , United States ,Houston ,"1,200[citation needed] ",
